ExternalService,kyoto1.langrid,AsyncTranslation,2012-03-29 21:51:10.17,2012-03-29 22:08:14.199,t,,,t,COMPOSITE,,,,t,,46578,1425,3,,f,pangaea,,,,"Asynchronous Translation Service executes long-running translation independent of its main process so that users do not have to wait a long time for the response. Uses can get a part of translation result using the token issued by this service. This service is provided ""AS IS"", without warranty of any kind.",Asynchronous Translation Service (Beta),,,,,0,f,t,,,46579,,,,,f,f
ExternalService,kyoto1.langrid,AsyncTranslationCombinedWithTemporalDictionary,2012-03-29 22:09:50.618,2012-03-29 22:09:50.832,t,,,t,COMPOSITE,,,,t,,46586,1592,3,,f,pangaea,,,,"Asynchronous Translation Service executes long-running translation independent of its main process so that users do not have to wait a long time for the response. Uses can get a part of translation result using the token issued by this service. This service is provided ""AS IS"", without warranty of any kind.",Asynchronous Translation Service Combined With Temporal Dictionary (Beta),,,,,0,f,t,,,46587,,,,,f,f
ExternalService,kyoto1.langrid,WordTranslationWithTemporalDictionary,2012-03-29 22:25:01.579,2012-03-29 22:25:01.623,t,,,t,COMPOSITE,,,,t,,46614,1859,3,,f,ishida.kyoto-u,,,,This service invokes a translation service to translate a word file and returns the translated word file.,Word Translation Combined with Temporal Dictionary,,,,,0,f,t,,,46615,,,,,f,f
BPELService,kyoto1.langrid,BackTranslation,2009-06-05 18:26:28.485,2010-12-03 17:32:47.642,t,BackTranslationJava,,t,COMPOSITE,"",java.net.URL,http://langrid.nict.go.jp/langrid-1.2/invoker/BackTranslation,t,,1372061,4248,1,"",f,clg.nict,,t,t,"This service consists of two translation services. These two translation services are connected sequentially. Second translation service translates the translated sentence into the input language. You can set the language codes of the input text, the intermediate result as parameters",BackTranslation Service,nict.nlp,BackTranslation,java.net.URI,http://langrid.nict.go.jp/langrid/services/BackTranslation,180000,t,t,,,1372062,t,BackTranslation,7931.16636528015,3318,,
ExternalService,kyoto1.langrid,WordTranslation,2012-03-29 22:23:39.148,2012-03-29 22:23:39.202,t,,,t,COMPOSITE,,,,t,,46608,1701,3,,f,ishida.kyoto-u,,,,"This service invokes a translation service to translate a word file and
returns the translated word file.",Word Translation,,,,,0,f,t,,,46609,,,,,f,f
ExternalService,kyoto1.langrid,BestTranslationSelectionUsingQualityEstimationWithAllResults,2012-03-29 22:14:15.895,2012-03-29 22:14:15.995,t,,,t,COMPOSITE,,,,t,,46594,1594,3,,f,clg.nict,,,,"This service invokes translation services in parallel and estimates
translation quality of the results using a quality estimation
service.
The result of this service contains all the translation results and
the index of the result which is estimated as the best.",Best Translation Selection Using Quality Estimation With All Results,nict.nlp,TranslationSelection,,,0,f,t,,,46595,,,,,f,f
ExternalService,kyoto1.langrid,QualityEstimationBasedOnBackTranslation,2012-03-29 22:16:15.02,2012-03-29 22:16:15.098,t,,,t,COMPOSITE,,,,t,,46602,1433,3,,f,clg.nict,,,,"This service estimates translation quality based on similarity between
an input sentence and the back-translation result. Translation quality
is estimated as high when the similarity is high.",Quality Estimation Based on BackTranslation,nict.nlp,QualityEstimation,,,0,f,t,,,46603,,,,,f,f
BPELService,kyoto1.langrid,BilingualDictionaryCrossSearch,2008-12-12 21:32:22.862,2010-12-03 17:33:36.317,t,BilingualDictionaryCrossSearchJava,,t,COMPOSITE,"",java.net.URL,http://langrid.nict.go.jp/langrid-1.2/invoker/BilingualDictionaryCrossSearch,t,,129410,5591,1,"",f,clg.nict,,t,t,"This service consists of five bilingual dictionary services. Five bilingual dictionary services are invoked concurrently, and you can set the language codes of a head word and target words.",Bilingual Dictionary Cross Search Service,nict.nlp,BilingualDictionary,java.net.URI,http://localhost:8080/wrapper-mock-1.2.N/services/BilingualDictionaryCrossSearch,0,t,t,,,129411,t,BilingualDictionaryCrossSearch,20352.5,2,,
ExternalService,kyoto1.langrid,GensenZh,2012-07-12 16:45:43.887,2012-07-12 16:45:44.008,t,,,t,ATOMIC,"Hiroshi Nakagawa, Akira Maeda and Hiroyuki Kojima",,,t,,48956,1843,0,,f,langrid,GensenZh,,,Extracts valued domain specific terms from Web pages or text you input. The extracted terms are sorted and displayed in descending order of their importance.,Gensen Web (Zh),nict.nlp,KeyphraseExtraction,,,0,f,t,,,48957,,,,,f,f
ExternalService,kyoto1.langrid,OpenTS,2012-07-12 16:37:40.096,2012-07-12 16:37:40.481,t,,,t,ATOMIC,Nadav Rotem,,,t,,48950,1734,0,http://libots.sourceforge.net/,f,langrid,OpenTS,,,"The program reads a text, decides which sentences are important and which are not, and provides a summary of the document. Detailed information can be found in http://libots.sourceforge.net/",Open Text Summarizer,nict.nlp,TextSummarization,,,0,f,t,,,48951,,,,,f,f
