BackTranslation,AbstractTranslation
BackTranslation,Bing
BackTranslation,GoogleTranslate
BackTranslation,GoogleTranslationV2
BackTranslation,ICTCLAS
BackTranslation,Klt
BackTranslation,KyotoTourismDictionaryDb
BackTranslation,KyotoUCLWT
BackTranslation,KyotoUJServer
BackTranslation,Mecab
BackTranslation,MockTranslation
BackTranslation,NICTCLWT
BackTranslation,NICTJServer
BackTranslation,StanfordPosTagger
BackTranslation,TGEver1
BackTranslation,ToshibaMT
BackTranslation,TranslationCombinedWithBilingualDictionary
BackTranslation,TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch
BackTranslation,TreeTagger
BackTranslation,TwoHopTranslationEn
BackTranslation,TwoHopTranslationJa
BackTranslation,YakushiteNet
BestTranslationSelectionUsingQualityEstimationWithAllResults,GoogleTranslate
BestTranslationSelectionUsingQualityEstimationWithAllResults,KyotoUJServer
BestTranslationSelectionUsingQualityEstimationWithAllResults,TranslationPL1
BestTranslationSelectionUsingQualityEstimationWithAllResults,TranslationPL5
BestTranslationSelectionWithTemporalDictionary,BackTranslationCombinedWithBilingualDictionaryWithLongestMatchSearch
BestTranslationSelectionWithTemporalDictionary,BLEU
BestTranslationSelectionWithTemporalDictionary,TreeTagger
BilingualDictionaryCrossSearch,AbstractBilingualDictionary
BilingualDictionaryCrossSearch,EDRDictionary
BilingualDictionaryCrossSearch,JapanAgricultureDictionary
BilingualDictionaryCrossSearch,kita-test-0802
BilingualDictionaryCrossSearch,KodaijiTempleDictionary
BilingualDictionaryCrossSearch,KyodaiHonyakuDisasterDictionary
BilingualDictionaryCrossSearch,KyotoMaternityDictionary
BilingualDictionaryCrossSearch,KyotoSpecialtyDictionary
BilingualDictionaryCrossSearch,Lsd
BilingualDictionaryCrossSearch,mief_miekonihongo_dictionary
BilingualDictionaryCrossSearch,MinamiAlpsNihongoDictionary
BilingualDictionaryCrossSearch,moviedictionary
BilingualDictionaryCrossSearch,NaturalDisasterDb
BilingualDictionaryCrossSearch,NiiLocal
BilingualDictionaryCrossSearch,nkjm-2012-07-23
BilingualDictionaryCrossSearch,RentalHousingDictionary
BilingualDictionaryCrossSearch,RitsumeikanDictionar
BilingualDictionaryCrossSearch,RitsumeikanDictionary
BilingualDictionaryCrossSearch,SiaSchoolDictionary
BilingualDictionaryCrossSearch,TGEver1
BilingualDictionaryCrossSearch,WikipediaDictionary_Katakana_ja
BilingualDictionaryCrossSearch,YMCRiceDictionary
BilingualDictionaryWithLongestMatchCrossSearch,billingualdictionary
BilingualDictionaryWithLongestMatchCrossSearch,EDRDictionary
BilingualDictionaryWithLongestMatchCrossSearch,KodaijiTempleDictionary
BilingualDictionaryWithLongestMatchCrossSearch,KyodaiHonyakuDisasterDictionary
BilingualDictionaryWithLongestMatchCrossSearch,KyotoMaternityDictionary
BilingualDictionaryWithLongestMatchCrossSearch,KyotoSpecialtyDictionary
BilingualDictionaryWithLongestMatchCrossSearch,KyotoTourismDictionaryDb
BilingualDictionaryWithLongestMatchCrossSearch,LsdDb
BilingualDictionaryWithLongestMatchCrossSearch,NaturalDisasterDb
BilingualDictionaryWithLongestMatchCrossSearch,RitsumeikanDictionary
BilingualDictionaryWithLongestMatchCrossSearch,SiaSchoolDictionary
BilingualDictionaryWithLongestMatchCrossSearch,TGEver1
BilingualDictionaryWithLongestMatchCrossSearch,WikipediaEnDictionaryEntertainment
QualityEstimationBasedOnBackTranslation,GoogleTranslate
QualityEstimationBasedOnBackTranslation,KyotoUJServer
TaggedBackTranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,ChasenService
TaggedBackTranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,Mecab
TaggedBackTranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,NaturalDisasterDb
TaggedBackTranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,TreeTagger
TaggedTranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,Mecab
ThreeHopTranslation,KyotoUJServer
ThreeHopTranslationEnJa,GoogleTranslate
ThreeHopTranslationEnJa,KyotoUCLWT
ThreeHopTranslationEnJa,KyotoUJServer
ThreeHopTranslationJaEn,GoogleTranslate
ThreeHopTranslationJaEn,KyotoUJServer
TranslationCombinedWithBilingualDictionary,AbstractBilingualDictionary
TranslationCombinedWithBilingualDictionary,BilingualDictionaryCrossSearch
TranslationCombinedWithBilingualDictionary,GoogleTranslate
TranslationCombinedWithBilingualDictionary,JapanAgricultureDictionary
TranslationCombinedWithBilingualDictionary,KyotoSpecialtyDictionary
TranslationCombinedWithBilingualDictionary,KyotoTourismDictionaryDb
TranslationCombinedWithBilingualDictionary,KyotoUCLWT
TranslationCombinedWithBilingualDictionary,KyotoUJServer
TranslationCombinedWithBilingualDictionary,Mecab
TranslationCombinedWithBilingualDictionary,moviedictionary
TranslationCombinedWithBilingualDictionary,NaturalDisasterDb
TranslationCombinedWithBilingualDictionary,NaturalDisasters
TranslationCombinedWithBilingualDictionary,NaturalDisastersDB
TranslationCombinedWithBilingualDictionary,StanfordPOSTagger
TranslationCombinedWithBilingualDictionary,TreeTagger
TranslationCombinedWithBilingualDictionary,YMCCommunityDictionary
TranslationCombinedWithBilingualDictionary,YMCRiceDictionary
TranslationCombinedWithBilingualDictionary,YMCVietActivityDictionaryService
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,AbstractBilingualDictionaryWithLongestMatchSearch
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,BahasaIndonesiaMorphologicalAnalysisService
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,BilingualDictionaryService
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,BilingualDictionaryWithLongestMatchCrossSearch
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,billingualdictionary
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,ChasenService
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,DefaultMorphologicalAnalysis
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,GoogleTranslate
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,ICTCLAS
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,JapanAgricultureDictionary
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,Juman
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,Klt
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,KyotoTourismDictionaryDb
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,KyotoUJServer
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,LsdDb
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,Mecab
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,NaturalDisasterDb
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,RentalHousingDictionary
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,RitsumeikanDictionary
TranslationCombinedWithBilingualDictionaryWithLongestMatchSearch,StanfordPosTagger
